Model,Overall Accuracy,Kappa,Precision,Recall,F1-score
Decision Tree,0.9144336569579288,0.8759672627270964,0.9145535423371078,0.9144336569579288,0.9144765710428358
SVM,0.9479611650485437,0.9248453908912115,0.9493845994688942,0.9479611650485437,0.9481392698850468
ANN,0.9554692556634304,0.9357521136959841,0.9565296556186521,0.9554692556634304,0.9556937731734424
KNN,0.9409708737864078,0.9143281239177317,0.9415447896427251,0.9409708737864078,0.9409092117950097
Naive Bayes,0.8279611650485437,0.7522697551268562,0.8364871277180275,0.8279611650485437,0.8225096052049332
